0:00:00.655516: {Acceleration: {Time: 35, Status: 0, Value: (0.00390625,-0.005859375,-0.001953125)},Gyroscope: {Time: 43, Status: 3, Value: (0.0234375,-0.01171875,-0.04296875)},Magnetic: {Time: 47848, Status: 2, Value: (-0.875,-18.8125,38.0)},Gravity: {Time: 40, Status: 3, Value: (0.015625,-0.484375,-10.03125)}, Rotation: {Time: 37, Status: 2, Value: (-0.99969482421875,-0.00634765625,0.00048828125, 0.0245361328125)}}
0:00:00.732309: {Acceleration: {Time: 109, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 103, Status: 3, Value: (-0.015625,0.0234375,-0.08203125)},Magnetic: {Time: 106, Status: 2, Value: (-0.125,-17.4375,38.375)},Gravity: {Time: 99, Status: 3, Value: (0.015625,-0.484375,-10.03125)}, Rotation: {Time: 112, Status: 2, Value: (-0.99969482421875,-0.00628662109375,0.00042724609375, 0.0245361328125)}}
0:00:00.857249: {Acceleration: {Time: 232, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 172, Status: 3, Value: (-0.015625,0.03125,-0.00390625)},Magnetic: {Time: 176, Status: 2, Value: (2.0,-17.0625,37.8125)},Gravity: {Time: 169, Status: 3, Value: (0.015625,-0.4921875,-10.03125)}, Rotation: {Time: 226, Status: 2, Value: (-0.99969482421875,-0.0062255859375,0.0003662109375, 0.0245361328125)}}
0:00:00.951344: {Acceleration: {Time: 328, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 293, Status: 3, Value: (0.0234375,0.0234375,0.0234375)},Magnetic: {Time: 268, Status: 2, Value: (0.9375,-18.4375,37.375)},Gravity: {Time: 289, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 332, Status: 2, Value: (-0.99969482421875,-0.00616455078125,0.0003662109375, 0.0245361328125)}}
0:00:01.078039: {Acceleration: {Time: 458, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 431, Status: 3, Value: (-0.0234375,-0.00390625,0.015625)},Magnetic: {Time: 446, Status: 2, Value: (-0.1875,-18.4375,39.25)},Gravity: {Time: 428, Status: 3, Value: (0.0234375,-0.4921875,-10.015625)}, Rotation: {Time: 461, Status: 2, Value: (-0.99969482421875,-0.006103515625,0.000244140625, 0.0245361328125)}}
0:00:01.172093: {Acceleration: {Time: 555, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 523, Status: 3, Value: (-0.0234375,0.03125,0.015625)},Magnetic: {Time: 526, Status: 2, Value: (1.6875,-17.4375,37.8125)},Gravity: {Time: 520, Status: 3, Value: (0.0234375,-0.4921875,-10.015625)}, Rotation: {Time: 549, Status: 2, Value: (-0.99969482421875,-0.006103515625,0.000244140625, 0.02447509765625)}}
0:00:01.310037: {Acceleration: {Time: 683, Status: 0, Value: (-0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 644, Status: 3, Value: (-0.0234375,0.03125,0.015625)},Magnetic: {Time: 648, Status: 2, Value: (-0.125,-17.75,38.375)},Gravity: {Time: 641, Status: 3, Value: (0.0234375,-0.4921875,-10.015625)}, Rotation: {Time: 679, Status: 2, Value: (-0.99969482421875,-0.00604248046875,0.0001220703125, 0.0245361328125)}}
0:00:01.394636: {Acceleration: {Time: 775, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 754, Status: 3, Value: (0.015625,0.0234375,0.015625)},Magnetic: {Time: 768, Status: 2, Value: (0.25,-16.4375,37.0)},Gravity: {Time: 750, Status: 3, Value: (0.0234375,-0.484375,-10.015625)}, Rotation: {Time: 747, Status: 2, Value: (-0.99969482421875,-0.00604248046875,0.0, 0.0245361328125)}}
0:00:01.488861: {Acceleration: {Time: 867, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 875, Status: 3, Value: (0.015625,0.0234375,0.0234375)},Magnetic: {Time: 812, Status: 2, Value: (0.5,-18.8125,38.75)},Gravity: {Time: 873, Status: 3, Value: (0.0234375,-0.484375,-10.0234375)}, Rotation: {Time: 870, Status: 2, Value: (-0.99969482421875,-0.0059814453125,0.0, 0.02447509765625)}}
0:00:01.581448: {Acceleration: {Time: 970, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 934, Status: 3, Value: (-0.015625,-0.01171875,-0.01171875)},Magnetic: {Time: 936, Status: 2, Value: (0.1875,-17.4375,37.9375)},Gravity: {Time: 931, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 967, Status: 2, Value: (-0.99969482421875,-0.0059814453125,0.0, 0.0245361328125)}}
0:00:01.693569: {Acceleration: {Time: 1065, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1074, Status: 3, Value: (0.0234375,0.0703125,-0.01171875)},Magnetic: {Time: 1033, Status: 2, Value: (0.1875,-17.75,38.3125)},Gravity: {Time: 1070, Status: 3, Value: (0.015625,-0.4921875,-10.0234375)}, Rotation: {Time: 1067, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-6.103515625e-05, 0.02459716796875)}}
0:00:01.787564: {Acceleration: {Time: 1165, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 1157, Status: 3, Value: (-0.015625,0.0234375,-0.01171875)},Magnetic: {Time: 1159, Status: 2, Value: (-0.0625,-18.8125,37.5)},Gravity: {Time: 1154, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 1167, Status: 2, Value: (-0.99969482421875,-0.00604248046875,-6.103515625e-05, 0.0245361328125)}}
0:00:01.881730: {Acceleration: {Time: 1264, Status: 0, Value: (0.0,0.00390625,0.001953125)},Gyroscope: {Time: 1226, Status: 3, Value: (-0.015625,-0.01171875,-0.01171875)},Magnetic: {Time: 1229, Status: 2, Value: (-0.125,-17.4375,37.9375)},Gravity: {Time: 1223, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 1260, Status: 2, Value: (-0.99969482421875,-0.00604248046875,-6.103515625e-05, 0.0245361328125)}}
0:00:01.976723: {Acceleration: {Time: 1359, Status: 0, Value: (-0.05859375,0.2109375,-0.001953125)},Gyroscope: {Time: 1324, Status: 3, Value: (0.03125,0.0234375,-0.01171875)},Magnetic: {Time: 1297, Status: 2, Value: (0.1875,-17.4375,37.4375)},Gravity: {Time: 1320, Status: 3, Value: (0.0078125,-0.484375,-10.0234375)}, Rotation: {Time: 1363, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-0.0008544921875, 0.0244140625)}}
0:00:02.053333: {Acceleration: {Time: 1427, Status: 0, Value: (0.005859375,-0.03515625,0.001953125)},Gyroscope: {Time: 1394, Status: 3, Value: (-0.28515625,-0.17578125,-0.10546875)},Magnetic: {Time: 1297, Status: 2, Value: (0.1875,-17.4375,37.4375)},Gravity: {Time: 1320, Status: 3, Value: (0.0078125,-0.484375,-10.0234375)}, Rotation: {Time: 1421, Status: 2, Value: (-0.99969482421875,-0.006103515625,-0.00244140625, 0.02423095703125)}}
0:00:02.146899: {Acceleration: {Time: 1526, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1515, Status: 3, Value: (0.046875,-0.04296875,0.01953125)},Magnetic: {Time: 1519, Status: 2, Value: (-0.125,-16.8125,38.375)},Gravity: {Time: 1500, Status: 3, Value: (0.03125,-0.4921875,-10.0546875)}, Rotation: {Time: 1529, Status: 2, Value: (-0.99969482421875,-0.00604248046875,-0.0013427734375, 0.0242919921875)}}
0:00:02.241024: {Acceleration: {Time: 1624, Status: 0, Value: (-0.001953125,0.009765625,0.001953125)},Gyroscope: {Time: 1589, Status: 3, Value: (0.0,0.03125,-0.11328125)},Magnetic: {Time: 1592, Status: 2, Value: (0.5,-17.75,39.1875)},Gravity: {Time: 1574, Status: 3, Value: (0.0390625,-0.4921875,-10.0390625)}, Rotation: {Time: 1618, Status: 2, Value: (-0.99969482421875,-0.00604248046875,-0.00164794921875, 0.02435302734375)}}
0:00:02.335148: {Acceleration: {Time: 1721, Status: 0, Value: (-0.01171875,0.041015625,-0.001953125)},Gyroscope: {Time: 1685, Status: 3, Value: (0.0390625,0.1171875,0.1484375)},Magnetic: {Time: 1661, Status: 2, Value: (-0.5,-17.4375,37.9375)},Gravity: {Time: 1682, Status: 3, Value: (0.0390625,-0.5,-10.03125)}, Rotation: {Time: 1725, Status: 2, Value: (-0.99969482421875,-0.00604248046875,-6.103515625e-05, 0.0245361328125)}}
0:00:02.446779: {Acceleration: {Time: 1815, Status: 0, Value: (0.005859375,0.01953125,-0.001953125)},Gyroscope: {Time: 1824, Status: 3, Value: (-0.0234375,0.0234375,0.109375)},Magnetic: {Time: 1760, Status: 2, Value: (0.125,-17.0625,38.75)},Gravity: {Time: 1821, Status: 3, Value: (0.0234375,-0.484375,-10.03125)}, Rotation: {Time: 1818, Status: 2, Value: (-0.99969482421875,-0.00604248046875,-0.000244140625, 0.02459716796875)}}
0:00:02.541088: {Acceleration: {Time: 1924, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 1885, Status: 3, Value: (-0.0234375,-0.00390625,-0.04296875)},Magnetic: {Time: 1888, Status: 2, Value: (0.625,-17.75,36.625)},Gravity: {Time: 1927, Status: 3, Value: (0.015625,-0.4921875,-10.03125)}, Rotation: {Time: 1919, Status: 2, Value: (-0.99969482421875,-0.00604248046875,-6.103515625e-05, 0.024658203125)}}
0:00:02.638323: {Acceleration: {Time: 2015, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 2024, Status: 3, Value: (0.0234375,0.03125,0.109375)},Magnetic: {Time: 1959, Status: 2, Value: (0.9375,-17.4375,37.875)},Gravity: {Time: 2021, Status: 3, Value: (0.015625,-0.4921875,-10.03125)}, Rotation: {Time: 2017, Status: 2, Value: (-0.99969482421875,-0.00604248046875,-6.103515625e-05, 0.024658203125)}}
0:00:02.762308: {Acceleration: {Time: 2139, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2108, Status: 3, Value: (0.0234375,0.03125,-0.01171875)},Magnetic: {Time: 2111, Status: 2, Value: (-0.5625,-17.75,39.25)},Gravity: {Time: 2146, Status: 3, Value: (0.015625,-0.484375,-10.0234375)}, Rotation: {Time: 2142, Status: 2, Value: (-0.99969482421875,-0.0059814453125,-6.103515625e-05, 0.02459716796875)}}
